title,summary,"Factual Accuracy / Faithfulness: “The summary’s claims are correct and do not invent facts or misattribute statements.”
","Coverage / Salience: The summary captures the article’s main points and most important details, not just trivia.",Coherence / Structure: The summary is well-organized and easy to follow; ideas flow logically,Conciseness: The summary conveys the key points with minimal redundancy or fluff
PatchView__Multi-modality_detection_of_security_patches.pdf,"PatchView tackles the problem of detecting concealed security patches in Git commits by using a multi-modal approach. It leverages three data modalities: developer behavioral time-series data from the repository, commit messages, and code patches, each processed by its own sub-model (behavioral, text, and code). The outputs of these sub-models are fused in an end-to-end multi-modal model to produce the final prediction, making the system language-agnostic and language-oblivious. The dataset combines CVE-linked security patches (2015–2021) with non-security patches, totaling about 27,130 commits from 1,679 repositories, and includes rich behavioral features. PatchView achieves state-of-the-art performance with 94.52% accuracy and a 95.12% F1-score in detecting undisclosed security patches, with ablation studies showing the importance of end-to-end training and multi-modal fusion. The authors also make their data and code publicly available (GitHub and Kaggle) to support reproducibility and future work.",5,4,5,5
SUMLLAMA__Efficient_Contrastive_Representations_and_Fine-Tuned_Adapters_for_Bug_Report_Summarization.pdf,"SumLLaMA is a large-language-model–based approach for automated bug report summarization that addresses the challenges of capturing contextual relationships among bug report components and overfitting on small datasets. It uses a contrastive learning pre-training objective on CodeLLaMA, generating positive samples by masking different components and employing a Siamese network with a contrastive loss to learn sequence-level contextual representations. For fine-tuning, SumLLaMA adopts parameter-efficient tuning (LoRA), training a small summarization adapter (~1/1500 of the parameters) while keeping the base model fixed, and trains to generate the Summary from four remaining components. The model is pre-trained on a Bugzilla corpus (~270k reports) with an 80/10/10 train/val/test split and evaluated against four strong baselines and several LLM-based approaches using ROUGE and composite BLEU. Results show SumLLaMA achieves state-of-the-art performance, outperforming baselines by up to 24.01 ROUGE-L points and exceeding LLM-based methods by 2.9–3.1 ROUGE points, with ablations confirming the benefits of contrastive pre-training and PEFT. The authors note threats to validity due to Bugzilla-only data and suggest transfer learning and dataset adaptation for broader generalization in future work.",5,4,4,5
Evaluating_Large_Language_Model_Application_Impacts_on_Evasive_Spectre_Attack_Detection_.pdf,"This article investigates how applying large language models (DeepSeek, Kimi, Doubao) to text, image, and code tasks affects the detection of evasive Spectre attacks. It builds a realistic dataset by collecting hardware performance counters (HPCs) during attack and non-attack runs and uses DBSCAN to prune noise and select representative samples for testing. Three models (MLP, Random Forest, and RNN) are compared for attack detection, with Random Forest delivering the best overall performance and proposed as the primary detector. The results show the attack detection success rates follow the order code > text > image, with code tasks providing the strongest signals; this pattern persists across tested hardware platforms. Cross-architecture experiments on RTX 2080 Ti and RTX 3060 reveal that architectural differences shift HPC patterns, causing code-task detection to decline while text and image detection rise on the 3060 due to cache hierarchy changes. The study notes limitations (limited data types and attack types) and suggests defense directions such as adaptive cache management and hardware-based mitigations.",5,4,4,5
Can_llms_replace_manual_annotation_of_software_engineering_artifacts_.pdf,"The paper investigates whether large language models (LLMs) can safely replace costly human annotations in software engineering artifact evaluations. It applies six state-of-the-art LLMs to ten annotation tasks across five datasets, comparing LLM outputs to human ratings using Krippendorff’s alpha for human-human, human-model, and model-model agreement. The authors find that, for many tasks, human-model agreement is similar to human-human agreement and model-model agreement correlates with human-model agreement, suggesting when LLMs are suitable. Some tasks (e.g., code summarization and semantic similarity) show high agreement across all pairings, while others (e.g., causality and static analysis warnings) exhibit low model-model agreement, making them risky for substitution. They propose a two-step approach: first assess model-model agreement on few-shot prompts; if above a threshold, replace one human rating per sample (with selective replacements based on model confidence), yielding substantial reductions in human effort (up to about 33%–33% of overall effort for certain tasks, and up to 50–100% for some ratings). Overall, the study demonstrates a promising route toward mixed human-LLM evaluations, indicating potential to augment—rather than entirely replace—human annotators in many cases, with task- and sample-dependent considerations.",5,5,5,5
Retrieval_Augmented_Generation_Fine-Tuned_LLM_Model_for_Code_Recommendations_to_Mitigate_Lock_Contention.pdf,"- The article tackles lock-contention performance faults in Java, noting that existing tools identify issues but don’t provide actionable refactoring recommendations. 
- It proposes a Retrieval Augmented Generation (RAG) framework that combines a fine-tuned LLama model (via LoRA PEFT) with a domain knowledge base to generate context-grounded refactored code recommendations. 
- A Java lock contention code-smell dataset (six types) with 575 snippets was created and used to fine-tune LLama 3.1-8B-instruct in a supervised setting (1 training epoch, small hyperparameters). 
- The RAG pipeline uses BM25 and vector embeddings (ChromaDB) to retrieve relevant documents, then augments the LLM prompt to ground outputs and reduce hallucinations. 
- Evaluation shows the RAG+Fine-Tuned LLama achieves about BLEU 0.92 and CodeBLEU 0.90 (Pass@K ~0.52/0.80), outperforming baseline LLama (BLEU 0.31, CodeBLEU 0.24) and the fine-tuned model alone (BLEU 0.75, CodeBLEU 0.68). 
- External testing on Apache Kafka smells yielded substantial fix rates across several code-smell types, indicating practical effectiveness. 
- The paper concludes that RAG-grounded fine-tuning improves accuracy and reduces hallucinations, but notes limitations (reliance on external RAG content and no runtime performance verification) and suggests future work on multi-LLM ensembles and agent-based RAG.",5,4,2,4
Benchmarking_Long-Context_Language_Models_on_Long_Code_Understanding.pdf,"- The authors introduce LONG CODEU, a benchmark to rigorously evaluate long-context language models on long code understanding, covering four aspects (code unit perception, intra-code unit understanding, inter-code unit relations, and long code documentation) across eight tasks. 
- The benchmark uses extra-long, real-world Python code contexts up to 128K tokens from 116 GitHub repositories, with measures to reduce data contamination and preserve realistic dependencies. 
- Nine LCLMs are evaluated, including six general models (e.g., GPT-4o, Claude-3.5-Sonnet, Gemini-1.5-Flash, Mistral-v0.3, Phi-3.5, DeepSeek-V2.5) and three code models (DeepSeek-Coder-V2, Qwen2.5-Coder, CodeLlama). 
- Results show significant performance gaps among models, and a dramatic drop when long code length exceeds 32K tokens, far below the claimed 128K–1M context windows; inter-code unit relation understanding is the most challenging task. 
- The authors propose automatic evaluation metrics (EM-R/EM-P, LCS-R/LCS-P, CB-R/CB-P, and BLEU for documentation) that correlate well with human judgments (Kendall tau around 0.75). 
- Practical guidance is offered: smaller models can handle code-unit perception and understanding for lengths under ~16K, while long documentation benefits from GPT-4o or Gemini-1.5-Flash; inter-unit relation tasks require the strongest models, though performance remains limited at very long contexts. 
- Overall, LONG CODEU provides a comprehensive framework and reveals current LCLMs’ limits in long-code understanding, highlighting areas for model optimization and future multilingual and longer-context research.",5,5,2,3
Generating_vulnerability_security_fixes_with_Code_Language_Models.pdf,"PatchLM is a Code Language Model fine-tuned on code blocks from CVE-linked commit hunks to automatically generate security patches across multiple programming languages. It builds on pre-trained CodeT5 and CodeLlama models, fine-tuning them with vulnerability-fix pairs from the FixMe and RepairLlama datasets; CodeLlama is quantized to 4-bit for efficiency. The authors use structured prompt engineering to guide patch generation and evaluate results with CodeBLEU and ROUGE metrics, incorporating syntax, data flow, AST, and token-matching aspects. Experimental results show PatchLM outperforms the baselines CodeT5 and CodeLlama, achieving improvements up to 48.35% in CodeBLEU and 28.9% in ROUGE on vulnerability patches. The datasets comprise about 1495 vulnerability-fix pairs at the hunk level in FixMe and approximately 65,000 pairs in RepairLlama, enabling cross-language evaluation. The study demonstrates PatchLM’s practicality for automated vulnerability repair and suggests it can assist security analysts, while outlining future directions and limitations.",5,3,4,4
Enhancing_the_code_debugging_ability_of_llms_via_communicative_agent_based_data_refinement.pdf,"- The paper introduces DEBUG EVAL, a multilingual, multi-task benchmark to evaluate LLM code debugging across four tasks (Bug Localization, Bug Identification, Code Review, Code Repair) in Python, C++, and Java, using real user bugs and GPT-4 generated bugs.  
- It also proposes MASTER, a Communicative Agent-Based Data Refinement framework with three roles—Code Quizzer, Code Learner, and Code Teacher—that synthesize high-quality SFT data and provide Chain-of-Thought solutions to guide learning.  
- In zero-shot experiments with 13 LLMs, they find that 70B+ models generally perform better than 7B models, and that NeuDebugger variants can achieve strong results when trained with MASTER-synthesized data.  
- The authors observe that Chain-of-Thought (CoT) helps the Code Localization, Bug Identification, and Code Review tasks but can hurt Code Repair due to added noise and disruption of code structure.  
- They show that MASTER data refinement significantly boosts 7B-scale models, with NeuDebugger-DS-6.7B and NeuDebugger-Llama3-8B attaining notable improvements (about 27.7% and 4.1%, respectively) when fine-tuned on MASTER-generated data.  
- All data and code are released publicly (GitHub), enabling replication and further research in code debugging for LLMs.",5,3,4,4
PATCH__Empowering_Large_Language_Model_with_Programmer-Intent_Guidance_and_Collaborative-Behavior_Simulation_for_Automatic_Bug_Fixing.pdf,"This article presents PATCH, a stage-wise framework that enhances large language models (LLMs) for automatic bug fixing by simulating programmer collaboration and using richer inputs. It argues that existing LLM approaches struggle because they treat bug fixing as a single-step task and rely only on buggy code, lacking repository-level context and programmer intent. PATCH decomposes bug fixing into four interactive stages—bug reporting, bug diagnosis, patch generation, and patch verification—employing three ChatGPT agents (tester, developer, reviewer) to mirror real-world debugging roles. It augments the buggy snippet with dependence context from class and repository levels and incorporates programmer intent via commit messages, plus retrieved similar bug-fixing demonstrations to guide generation. Patch generation is iterative, with feedback from the reviewer guiding refinements until the patch meets the desired goal. Evaluations on the BFP benchmark show PATCH outperforms state-of-the-art LLM approaches, and the authors release replicate artifacts publicly to support reproducibility.",5,4,5,4
Hierarchical_repository-level_code_summarization_for_business_applications_using_local_llms.pdf,"- The authors propose a two-step hierarchical approach for repository-level code summarization tailored to business applications, aiming to handle large codebases effectively. 
- They segment Java files into cohesive units (functions, variables, constructors, enums, interfaces) using an AST, summarize each unit with local LLMs, and then aggregate these into file-level and package-level summaries. 
- To ground the summaries in business context, they use domain- and problem-context prompts focused on the telecom BSS domain, improving domain relevance and alignment with business intent. 
- The evaluation uses a small public GitHub repository mirroring their telecom BSS codebase, with local models (Llama-3, Starchat2, Codestral) for segment-level summarization and GPT-4 to generate ground-truth references; for long files, they employ Llama-3.2 with a 128K context window. 
- Results indicate that the hierarchical, segment-level approach improves coverage, and grounding further enhances domain specificity and relevance compared to direct file-level summarization. 
- The study concludes that the approach yields concise, coherent, and domain-aware summaries and suggests future work on agentic/self-reflective models, broader domains, and multi-modal data integration.",5,4,4,4
